,url,title,authorname,avg_rating,num_rat,num_rev,total_pages,ori_year,places,series,awards,genre3
759,https://www.goodreads.com//book/show/568092.Dark_Moon,Dark Moon,David Gemmell,4.09,"4,086",119,405,2003,,0,,"['Fantasy', 'Fiction', 'Fantasy']"
760,https://www.goodreads.com//book/show/6586456-naamah-s-curse,Naamah's Curse,Jacqueline Carey,4.14,"10,284",412,576,2010,,1,Goodreads Choice Award Nominee for Fantasy (2010),"['Fantasy', 'Romance', 'Fiction']"
761,https://www.goodreads.com//book/show/104088.The_Wandering_Fire,The Wandering Fire,Guy Gavriel Kay,4.11,"15,888",527,375,2001,,1,Prix Aurora Award for Best Work in English (1987),"['Fantasy', 'Fiction', 'Fantasy']"
762,https://www.goodreads.com//book/show/187065.New_Spring,New Spring,Robert Jordan,4.03,"84,275","1,882",423,2004,Tar Valon,1,,"['Fantasy', 'Fiction', 'Fantasy']"
763,https://www.goodreads.com//book/show/40992.Shadow_Claw,Shadow & Claw,Gene Wolfe,4.02,"16,459","1,114",413,1994,,1,,"['Fantasy', 'Science Fiction', 'Fiction']"
764,https://www.goodreads.com//book/show/384962.White_Wolf,White Wolf,David Gemmell,4.28,"9,367",159,589,2004,,1,,"['Fantasy', 'Fiction', 'Fantasy']"
765,https://www.goodreads.com//book/show/37907938-orope---the-white-snake,Orope - The White Snake,Guenevere Lee,4.03,72,22,286,2018,,1,,"['Fantasy', 'Historical', 'Historical Fiction']"
766,https://www.goodreads.com//book/show/15771846-mage-s-blood,Mage's Blood,David Hair,3.88,"4,318",357,671,2012,,1,,"['Fantasy', 'Fantasy', 'Epic Fantasy']"
767,https://www.goodreads.com//book/show/29187.Time_of_the_Twins,Time of the Twins,Margaret Weis,4.16,"33,082",438,389,2004,,1,,"['Fantasy', 'Dungeons and Dragons', 'Dragonlance']"
768,https://www.goodreads.com//book/show/133460.The_Phoenix_Guards,The Phoenix Guards,Steven Brust,4.07,"4,911",216,491,1992,,1,,"['Fantasy', 'Fiction', 'Adventure']"
769,https://www.goodreads.com//book/show/74273.Traitor_s_Moon,Traitor's Moon,Lynn Flewelling,4.12,"10,365",420,540,1999,,1,Gaylactic Spectrum Award Nominee for Best Novel (2000),"['Fantasy', 'LGBT', 'Romance']"
770,https://www.goodreads.com//book/show/133664.Academ_s_Fury,Academ's Fury,Jim Butcher,4.23,"66,565","1,780",702,2010,Alera,1,,"['Fantasy', 'Fiction', 'Fantasy']"
771,https://www.goodreads.com//book/show/28247.Voice_of_the_Gods,Voice of the Gods,Trudi Canavan,4.09,"12,398",257,574,2007,,1,,"['Fantasy', 'Fantasy', 'High Fantasy']"
